,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
0,Suter Ryan,MIN,82,7,40,47,-8,26:42:00,2222,27.1,46:34:00, D
1,Doughty Drew,LA,82,8,37,45,-34,26:36:00,2393,29.2,48:27:00, D
2,Letang Kris,PIT,65,16,40,56,13,25:58:00,1923,29.6,30:07:00, D
3,Jones Seth,CBJ,75,9,37,46,1,25:49:00,2214,29.5,42:06:00, D
4,Josi Roman,NSH,82,15,41,56,9,25:10:00,2359,28.8,36:51:00, D
5,Provorov Ivan,PHI,82,7,19,26,-16,25:07:00,2369,28.9,79:12:00, D
6,Burns Brent,SJ,82,16,67,83,13,25:06:00,2200,26.8,24:47:00, D
7,Carlson John,WSH,80,13,57,70,21,25:04:00,2041,25.5,28:38:00, D
8,Ristolainen Rasmus,BUF,78,5,38,43,-41,24:38:00,2076,26.6,44:41:00, D
9,Edler Alexander,VAN,56,10,24,34,3,24:34:00,1683,30.1,40:28:00, D
10,Klingberg John,DAL,64,10,35,45,6,24:32:00,1719,26.9,34:53:00, D
11,Karlsson Erik,SJ,53,3,42,45,6,24:29:00,1384,26.1,28:50:00, D
12,Byfuglien Dustin,WPG,42,4,27,31,4,24:22:00,991,23.6,33:00:00, D
13,Lindell Esa,DAL,82,11,21,32,14,24:20:00,2314,28.2,62:20:00, D
14,Chabot Thomas,OTT,70,14,41,55,-12,24:17:00,1936,27.7,30:54:00, D
15,Giordano Mark,CGY,78,17,57,74,39,24:14:00,2177,27.9,25:33:00, D
16,Spurgeon Jared,MIN,82,14,29,43,-1,24:09:00,2170,26.5,46:02:00, D
17,Pietrangelo Alex,STL,71,13,28,41,2,24:05:00,2061,29.0,41:41:00, D
18,Ellis Ryan,NSH,82,7,34,41,21,24:01:00,2320,28.3,48:01:00, D
19,Lindholm Hampus,ANA,76,6,22,28,-5,24:00:00,2281,30.0,65:07:00, D
20,Klefbom Oscar,EDM,61,5,23,28,-11,23:59,1695,27.8,52:14:00, D
21,Nurse Darnell,EDM,82,10,31,41,-5,23:49,2306,28.1,47:38:00, D
22,Ekblad Aaron,FLA,82,13,24,37,1,23:39,2468,30.1,52:24:00, D
23,Ekman-Larsson Oliver,ARI,81,14,30,44,-16,23:38,2231,27.5,43:31:00, D
24,Weber Shea,MTL,58,14,19,33,15,23:29,1572,27.1,41:16:00, D
25,Dumba Matt,MIN,32,12,10,22,-5,23:23,799,25.0,34:00:00, D
26,Fowler Cam,ANA,59,5,18,23,-14,23:22,1727,29.3,59:56:00, D
27,Ekholm Mattias,NSH,80,8,36,44,27,23:22,2288,28.6,42:28:00, D
